,artist_name,track_name,release_date,genre,len,topic,age
0,mukesh,mohabbat bhi jhoothi,1950,pop,95,sadness,1
4,frankie laine,i believe,1950,pop,51,world/life,1
6,johnnie ray,cry,1950,pop,24,music,1
10,pérez prado,patricia,1950,pop,54,romantic,1
12,giorgos papadopoulos,apopse eida oneiro,1950,pop,48,romantic,1
14,perry como,round and round (with mitchell ayres and his orchestra & the ray charles singers),1950,pop,98,violence,1
15,freestyle,opm medley: when i met you,1950,pop,179,world/life,1
17,johnny mathis,it's not for me to say,1950,pop,21,world/life,1
20,stélios kazantzídis,klapse me mana klapse me,1950,pop,30,romantic,1
23,stélios kazantzídis,finito la mouzika,1950,pop,61,sadness,1
28,liva weel,"drømmer man om den, vågner..",1951,pop,113,obscene,0.985714285714286
32,the chordettes,carolina moon,1951,pop,38,night/time,0.985714285714286
33,frankie laine,necessary evil,1951,pop,173,obscene,0.985714285714286
34,ghantasala,kanugona galano,1951,pop,73,sadness,0.985714285714286
36,les paul,the carioca,1951,pop,60,romantic,0.985714285714286
37,les paul,chicken reel,1951,pop,199,world/life,0.985714285714286
40,les paul,blue skies,1951,pop,43,music,0.985714285714286
44,les paul,dark eyes,1951,pop,182,violence,0.985714285714286
53,asha bhosle,kotha mukunda,1952,pop,48,violence,0.971428571428571
54,asha bhosle,awaz deta hai sola ka din,1952,pop,148,feelings,0.971428571428571
56,mohammed rafi,jahan men log sachhe ashikon ko,1952,pop,84,sadness,0.971428571428571
57,ghantasala,avanee nee pathi,1952,pop,104,violence,0.971428571428571
58,ghantasala,ee jagamantha natika,1952,pop,41,romantic,0.971428571428571
62,les paul,smoke rings,1952,pop,35,music,0.971428571428571
64,mukesh,hum tujhse mohabbat kar ke,1952,pop,73,music,0.971428571428571
65,lata mangeshkar,paas nahin aaiye haath na lagaiye,1952,pop,18,night/time,0.971428571428571
66,lata mangeshkar,main na janoon,1952,pop,38,music,0.971428571428571
68,asha bhosle,gullyachi shapath,1952,pop,127,obscene,0.971428571428571
70,lata mangeshkar,judai ki khabar hoti agar,1952,pop,78,world/life,0.971428571428571
73,lata mangeshkar,maagata maagata janm gele,1953,pop,52,violence,0.957142857142857
74,lata mangeshkar,chupke chupke (from ''paying guest''),1953,pop,32,violence,0.957142857142857
75,asha bhosle,chahe kitna mujhe tum bulao ji,1953,pop,15,sadness,0.957142857142857
77,asha bhosle,tu bol na bol,1953,pop,79,romantic,0.957142857142857
80,mukesh,raat andheri door savera,1953,pop,83,world/life,0.957142857142857
84,ghantasala,thunintha pin,1953,pop,87,world/life,0.957142857142857
86,les paul,i'm sitting on top of the world,1953,pop,31,music,0.957142857142857
90,les paul,the world is waiting for the sunrise,1953,pop,25,romantic,0.957142857142857
99,t. m. soundararajan,ethanai periya,1953,pop,74,world/life,0.957142857142857
100,talat mahmood,ansoo to nahin hai ankhon men,1953,pop,104,obscene,0.957142857142857
101,andy williams,it's the most wonderful time of the year,1953,pop,79,night/time,0.957142857142857
102,lata mangeshkar,chandan ka palna resham ko dori,1954,pop,19,world/life,0.942857142857143
106,lata mangeshkar,le chal ri nindiya le chal hamen,1954,pop,64,violence,0.942857142857143
110,frankie laine,after you've gone,1954,pop,99,violence,0.942857142857143
115,asha bhosle,mere hamsafar tujhe kya khabar,1954,pop,20,romantic,0.942857142857143
118,sven-bertil taube,viljen i veta (would you like to know?),1954,pop,53,world/life,0.942857142857143
125,bobby vinton,blue velvet,1954,pop,46,music,0.942857142857143
126,los hermanos arriagada,poema,1954,pop,55,sadness,0.942857142857143
127,the drifters,the bells of st. mary's,1954,pop,32,music,0.942857142857143
128,the chordettes,for me and my gal,1954,pop,18,music,0.942857142857143
130,harry belafonte,mark twain,1954,pop,64,music,0.942857142857143
133,harry belafonte,the next big river,1954,pop,112,violence,0.942857142857143
135,lata mangeshkar,sitaron ki mehfil saji,1954,pop,52,violence,0.942857142857143
138,a. m. rajah,gopiparivrito,1954,pop,73,obscene,0.942857142857143
140,jonah jones,you're the cream in my coffee,1954,pop,33,music,0.942857142857143
148,lata mangeshkar,kabhi khamosh rahte hain,1955,pop,73,sadness,0.928571428571429
149,mohammed rafi,khanke to khanke,1955,pop,35,sadness,0.928571428571429
161,johnnie ray,here am i,1955,pop,25,sadness,0.928571428571429
164,les paul,brazil,1955,pop,25,world/life,0.928571428571429
167,les paul,"baby, won't you please come home",1955,pop,63,violence,0.928571428571429
168,frankie laine,jezebel,1955,pop,59,violence,0.928571428571429
169,bill haley & his comets,two hound dogs,1955,pop,156,music,0.928571428571429
181,les paul,sleep,1955,pop,51,night/time,0.928571428571429
183,lata mangeshkar,mera dil yeh pukare aaja,1955,pop,40,sadness,0.928571428571429
185,ted heath,to you my love,1955,pop,135,violence,0.928571428571429
191,ted heath,believe in me,1956,pop,121,obscene,0.914285714285714
192,ted heath,take the “a” train,1956,pop,199,obscene,0.914285714285714
199,lata mangeshkar,pahuni raghunandan savala,1956,pop,46,obscene,0.914285714285714
201,bill haley & his comets,come rock with me,1956,pop,103,night/time,0.914285714285714
202,lata mangeshkar,antar mantar jantar,1956,pop,45,sadness,0.914285714285714
204,lata mangeshkar,kahan se yeh sholon ka toofan aaya,1956,pop,41,violence,0.914285714285714
206,the platters,temptation,1956,pop,19,sadness,0.914285714285714
210,harry belafonte,unchained melody,1956,pop,37,night/time,0.914285714285714
217,the platters,on my word of honor,1956,pop,32,romantic,0.914285714285714
219,pete yorn,just my imagination (running away with me),1956,pop,76,sadness,0.914285714285714
221,the clovers,don't you know i love you,1956,pop,25,world/life,0.914285714285714
224,johnny mathis,"love, your magic spell is everywhere",1956,pop,30,sadness,0.914285714285714
229,the platters,heart of stone,1956,pop,49,violence,0.914285714285714
235,the platters,have mercy,1956,pop,50,romantic,0.914285714285714
239,the platters,you've changed,1956,pop,39,world/life,0.914285714285714
244,harry belafonte,i do adore her,1956,pop,78,sadness,0.914285714285714
245,jerry vale,"ciao, ciao, bambina",1956,pop,35,sadness,0.914285714285714
246,jerry vale,non dimenticar,1956,pop,40,romantic,0.914285714285714
248,jerry vale,al di la,1956,pop,26,sadness,0.914285714285714
249,harry belafonte,matilda,1956,pop,92,obscene,0.914285714285714
250,the clovers,devil or angel,1956,pop,35,violence,0.914285714285714
258,harry belafonte,hosanna,1956,pop,88,violence,0.914285714285714
259,jerry vale,volare (nel blu dipinto di blu),1956,pop,41,sadness,0.914285714285714
261,the platters,why should i,1956,pop,28,romantic,0.914285714285714
262,johnny mathis,in other words (fly me to the moon),1956,pop,21,music,0.914285714285714
263,lavern baker,i'll never be free,1956,pop,37,romantic,0.914285714285714
265,the platters,remember when,1956,pop,39,sadness,0.914285714285714
268,the clovers,love love love,1956,pop,58,obscene,0.914285714285714
270,johnny mathis,it might as well be spring,1956,pop,68,music,0.914285714285714
271,the platters,at your beck and call,1956,pop,32,world/life,0.914285714285714
273,the platters,september in the rain,1956,pop,36,music,0.914285714285714
274,the platters,i give you my word,1956,pop,28,music,0.914285714285714
275,jerry vale,more,1956,pop,46,romantic,0.914285714285714
276,jerry vale,summertime in venice,1956,pop,31,music,0.914285714285714
283,the clovers,here goes a fool,1956,pop,156,obscene,0.914285714285714
284,t. m. soundararajan,chinna kelbyaadve nanna ppuraana,1956,pop,57,romantic,0.914285714285714
286,frankie laine,remember me (the girl in the wood),1956,pop,71,world/life,0.914285714285714
290,groovie ghoulies,blood beach,1957,pop,38,violence,0.9
306,ricky nelson,am i blue?,1957,pop,24,music,0.9
307,harry belafonte,don't ever love me,1957,pop,42,romantic,0.9
308,harry belafonte,angelique-o,1957,pop,88,world/life,0.9
311,ricky nelson,true love,1957,pop,14,romantic,0.9
315,johnny mathis,by myself,1957,pop,68,world/life,0.9
317,johnny mathis,warm,1957,pop,40,romantic,0.9
318,lata mangeshkar,panchhi banoon udti phiroon,1957,pop,59,music,0.9
319,billy vaughn,miss you,1957,pop,44,sadness,0.9
320,eddie cochran,one kiss,1957,pop,25,romantic,0.9
321,johnny mathis,i'm glad there is you,1957,pop,41,sadness,0.9
322,johnny mathis,"baby, baby, baby",1957,pop,73,sadness,0.9
325,eddie cochran,undying love,1957,pop,18,world/life,0.9
326,ricky nelson,your true love,1957,pop,37,romantic,0.9
327,harry belafonte,cu cu ru cu cu paloma,1957,pop,54,sadness,0.9
329,harry belafonte,cordelia brown,1957,pop,42,world/life,0.9
330,andy williams,dear heart,1957,pop,40,romantic,0.9
331,eddie cochran,completely sweet,1957,pop,73,romantic,0.9
334,eddie cochran,sittin' in the balcony,1957,pop,39,romantic,0.9
335,andy williams,a time for us,1957,pop,36,world/life,0.9
337,the chordettes,soft sands,1957,pop,45,romantic,0.9
341,andy williams,(where do i begin) love story,1957,pop,56,world/life,0.9
343,andy williams,canadian sunset,1957,pop,29,romantic,0.9
346,jimmie rodgers,kisses sweeter than wine,1957,pop,95,romantic,0.9
348,the chordettes,eddie my love,1957,pop,26,night/time,0.9
350,the chordettes,come home to my arms,1957,pop,72,romantic,0.9
351,the chordettes,love never changes,1957,pop,37,world/life,0.9
352,mohammed rafi,tumsa nahin dekha,1957,pop,91,sadness,0.9
356,lavern baker,i can't love you enough,1957,pop,32,sadness,0.9
357,ghantasala,choopula kalasina subhavela,1957,pop,109,violence,0.9
359,eddie cochran,i'm alone because i love you,1957,pop,11,sadness,0.9
360,johnny mathis,i've grown accustomed to her face,1957,pop,59,violence,0.9
367,andy williams,speak softly love,1957,pop,44,world/life,0.9
368,the chordettes,teen age goodnight,1957,pop,39,romantic,0.9
370,harry belafonte,"love, love alone",1957,pop,95,sadness,0.9
373,the keynotes,now i know,1957,pop,51,sadness,0.9
374,the keynotes,tell me you love me,1957,pop,175,obscene,0.9
376,lavern baker,still,1957,pop,18,romantic,0.9
377,the keynotes,i don't know,1957,pop,191,world/life,0.9
378,pradeep kumar,suno sunaoon tumhen ek kahani,1957,pop,72,obscene,0.9
384,norrie paramor,i'll see you in my dreams,1957,pop,54,sadness,0.9
387,les paul,"i surrender, dear",1957,pop,36,sadness,0.9
388,esquivel!,titulos principio,1957,pop,72,night/time,0.9
390,the platters,in the middle of nowhere,1957,pop,43,sadness,0.9
394,the platters,you are too beautiful,1957,pop,27,sadness,0.9
396,lavern baker,that's all i need,1957,pop,145,obscene,0.9
397,ghantasala,aagaya veedhiyil,1958,pop,120,violence,0.885714285714286
401,the platters,don't blame me,1958,pop,25,sadness,0.885714285714286
402,perry como,between the devil and the deep blue sea,1958,pop,59,violence,0.885714285714286
404,perry como,in the garden,1958,pop,32,music,0.885714285714286
407,perry como,he's got the whole world in his hands,1958,pop,47,romantic,0.885714285714286
408,perry como,birth of the blues,1958,pop,68,music,0.885714285714286
410,johnny mathis,where can i go?,1958,pop,18,romantic,0.885714285714286
411,張露,夢斷巫山,1958,pop,45,world/life,0.885714285714286
413,張露,你去了那裡,1958,pop,95,music,0.885714285714286
414,frankie laine,mona lisa,1958,pop,40,sadness,0.885714285714286
415,a. m. rajah,inbamae pongumae,1958,pop,42,sadness,0.885714285714286
416,t. m. soundararajan,enna vendum,1958,pop,153,obscene,0.885714285714286
419,maria koterbska,cowboy jackie,1958,pop,71,sadness,0.885714285714286
425,ricky nelson,unchained melody,1958,pop,26,night/time,0.885714285714286
426,frankie laine,"rose, rose, i love you",1958,pop,79,sadness,0.885714285714286
429,bobby darin,talk to me something,1958,pop,23,romantic,0.885714285714286
440,ricky nelson,there goes my baby,1958,pop,68,obscene,0.885714285714286
442,the everly brothers,"oh, so many years",1958,pop,54,romantic,0.885714285714286
443,johnny mathis,when i am with you,1958,pop,16,romantic,0.885714285714286
445,ricky nelson,i'll walk alone,1958,pop,44,sadness,0.885714285714286
447,ricky nelson,down the line,1958,pop,94,night/time,0.885714285714286
449,billy vaughn,yours,1958,pop,22,romantic,0.885714285714286
452,jerry vale,all dressed up with a broken heart,1958,pop,22,sadness,0.885714285714286
456,buddy holly,changing all those changes,1958,pop,32,world/life,0.885714285714286
458,johnny mathis,no love (but your love),1958,pop,18,romantic,0.885714285714286
463,bobby darin,pretty betty,1958,pop,62,night/time,0.885714285714286
464,buddy holly,well...all right,1958,pop,40,night/time,0.885714285714286
465,johnny mathis,"wonderful, wonderful",1958,pop,53,romantic,0.885714285714286
467,buddy holly,i'm gonna love you too,1958,pop,39,feelings,0.885714285714286
469,johnny mathis,sleigh ride,1958,pop,159,music,0.885714285714286
470,johnny mathis,the twelfth of never,1958,pop,40,romantic,0.885714285714286
472,jackie wilson,to be loved,1958,pop,37,romantic,0.885714285714286
473,johnny mathis,when sunny gets blue,1958,pop,69,sadness,0.885714285714286
475,buddy holly,words of love,1958,pop,22,romantic,0.885714285714286
478,ricky nelson,poor little fool,1958,pop,98,sadness,0.885714285714286
485,frankie laine,high noon,1958,pop,46,violence,0.885714285714286
486,buddy holly,"blue days, black nights",1958,pop,36,music,0.885714285714286
490,buddy holly,take your time,1958,pop,22,night/time,0.885714285714286
491,johnny mathis,winter wonderland,1958,pop,113,music,0.885714285714286
494,buddy holly,little baby,1958,pop,18,sadness,0.885714285714286
499,buddy holly,valley of tears,1958,pop,27,world/life,0.885714285714286
501,frankie lymon,diana,1958,pop,42,romantic,0.885714285714286
502,the everly brothers,long time gone,1958,pop,63,night/time,0.885714285714286
503,the everly brothers,roving gambler,1958,pop,90,obscene,0.885714285714286
504,buddy holly,listen to me,1958,pop,36,music,0.885714285714286
507,buddy holly,you are my one desire,1958,pop,9,romantic,0.885714285714286
509,buddy holly,love me,1958,pop,17,world/life,0.885714285714286
518,perry como,love letters,1958,pop,29,night/time,0.885714285714286
520,the drifters,drifting away from you,1958,pop,41,sadness,0.885714285714286
522,the drifters,moonlight bay,1958,pop,37,music,0.885714285714286
525,the platters,i'll take you home again kathleen,1958,pop,31,sadness,0.885714285714286
526,the platters,my serenade,1958,pop,27,music,0.885714285714286
531,the platters,sleepy time gal,1958,pop,60,night/time,0.885714285714286
532,the platters,try a little tenderness,1958,pop,45,world/life,0.885714285714286
534,mantovani,"god rest ye merry, gentlemen",1958,pop,53,world/life,0.885714285714286
537,jerry vale,all of me,1958,pop,17,sadness,0.885714285714286
541,the platters,that old feeling,1958,pop,32,sadness,0.885714285714286
546,the platters,for the first time,1958,pop,33,night/time,0.885714285714286
547,ricky nelson,believe what you say,1958,pop,79,world/life,0.885714285714286
549,ricky nelson,my bucket's got a hole in it,1958,pop,48,violence,0.885714285714286
551,frankie laine,jealousy (jalousie),1958,pop,44,sadness,0.885714285714286
553,the platters,it's raining outside,1958,pop,51,sadness,0.885714285714286
554,jerry lee lewis,good night irene,1958,pop,27,world/life,0.885714285714286
558,johnny mathis,blue christmas,1958,pop,35,music,0.885714285714286
565,the platters,whispering wind,1958,pop,51,music,0.885714285714286
570,jackie wilson,as long as i live,1958,pop,44,world/life,0.885714285714286
571,jackie wilson,right now!,1958,pop,53,night/time,0.885714285714286
572,frankie laine,granada,1958,pop,49,world/life,0.885714285714286
573,frankie laine,your cheatin' heart,1958,pop,45,sadness,0.885714285714286
574,the platters,but not like you,1958,pop,24,sadness,0.885714285714286
576,jackie wilson,danny boy,1958,pop,39,music,0.885714285714286
579,frankie laine,that's my desire,1958,pop,31,romantic,0.885714285714286
584,ricky nelson,don't leave me,1959,pop,68,sadness,0.871428571428571
585,jerry vale,"promises, promises",1959,pop,31,sadness,0.871428571428571
586,jerry vale,moonglow,1959,pop,30,music,0.871428571428571
590,neil sedaka,i belong to you,1959,pop,42,world/life,0.871428571428571
591,neil sedaka,crying my heart out for you,1959,pop,37,sadness,0.871428571428571
593,neil sedaka,moon of gold,1959,pop,40,romantic,0.871428571428571
594,neil sedaka,i waited too long,1959,pop,39,night/time,0.871428571428571
595,neil sedaka,forty winks away,1959,pop,40,sadness,0.871428571428571
597,neil sedaka,no vacancy,1959,pop,94,obscene,0.871428571428571
599,ricky nelson,blood from a stone,1959,pop,37,violence,0.871428571428571
600,neil sedaka,going home to mary lou,1959,pop,128,music,0.871428571428571
607,cliff richard & the shadows,i'm walkin',1959,pop,44,sadness,0.871428571428571
608,shirley bassey,i've got you under my skin,1959,pop,63,violence,0.871428571428571
610,neil sedaka,walk with me,1959,pop,54,sadness,0.871428571428571
613,neil sedaka,as long as i live,1959,pop,31,world/life,0.871428571428571
615,neil sedaka,the same old fool,1959,pop,32,sadness,0.871428571428571
621,jackie wilson,love is all,1959,pop,58,obscene,0.871428571428571
623,ghantasala,shiva shankari shivananda,1959,pop,33,violence,0.871428571428571
624,lloyd price,i wish your picture was you,1959,pop,45,world/life,0.871428571428571
631,johnny mathis,stairway to the sea (scalinatella),1959,pop,37,sadness,0.871428571428571
635,johnny mathis,embraceable you,1959,pop,32,romantic,0.871428571428571
636,johnny mathis,let's love,1959,pop,65,romantic,0.871428571428571
640,tony dallara,oceano,1959,pop,90,sadness,0.871428571428571
641,rania,منك بخاف,1959,pop,93,violence,0.871428571428571
645,ira ironstrings,let it snow! let it snow! let it snow!,1959,pop,78,sadness,0.871428571428571
648,brenda lee,back in your own back yard,1959,pop,38,sadness,0.871428571428571
651,johnny mathis,you better go now,1959,pop,99,obscene,0.871428571428571
653,johnny mathis,i'm just a boy in love,1959,pop,24,world/life,0.871428571428571
654,johnny mathis,secret love,1959,pop,51,world/life,0.871428571428571
655,johnny mathis,where are you?,1959,pop,74,sadness,0.871428571428571
656,johnny mathis,faithfully,1959,pop,20,romantic,0.871428571428571
661,connie francis,have yourself a merry little christmas,1959,pop,39,music,0.871428571428571
662,connie francis,i'll be home for christmas,1959,pop,19,music,0.871428571428571
665,lavern baker,"touch me, lord jesus",1959,pop,44,romantic,0.871428571428571
667,jackie wilson,happiness,1959,pop,15,sadness,0.871428571428571
668,jackie wilson,"only you, only me",1959,pop,145,obscene,0.871428571428571
669,jackie wilson,it's all a part of love,1959,pop,26,world/life,0.871428571428571
670,the brothers four,superman,1959,pop,170,violence,0.871428571428571
671,the brothers four,angelique-o,1959,pop,93,world/life,0.871428571428571
673,the brothers four,the damsel's lament (i never will marry),1959,pop,48,world/life,0.871428571428571
679,johnny mathis,i'll be easy to find,1959,pop,52,sadness,0.871428571428571
680,the platters,prisoner of love,1959,pop,40,sadness,0.871428571428571
681,the platters,if i didn't care,1959,pop,45,sadness,0.871428571428571
685,the flamingos,as time goes by,1959,pop,115,violence,0.871428571428571
687,johnny mathis,when i fall in love,1959,pop,23,sadness,0.871428571428571
689,the platters,i'll never smile again,1959,pop,16,sadness,0.871428571428571
690,connie francis,mama,1959,pop,26,world/life,0.871428571428571
691,ritchie valens,rockin' all night,1959,pop,64,romantic,0.871428571428571
693,dion & the belmonts,i got the blues,1959,pop,72,music,0.871428571428571
695,bobby darin,through a long and sleepless night,1959,pop,32,sadness,0.871428571428571
698,ricky nelson,sweeter than you,1959,pop,19,romantic,0.871428571428571
700,dion & the belmonts,no one knows,1959,pop,34,sadness,0.871428571428571
704,connie francis,non dimenticar,1959,pop,48,romantic,0.871428571428571
705,the byrds,turn! turn! turn! (to everything there is a season),1959,pop,95,night/time,0.871428571428571
712,simon & garfunkel,mrs. robinson,1959,pop,71,sadness,0.871428571428571
715,the brothers four,yellow bird,1959,pop,37,sadness,0.871428571428571
716,ritchie valens,stay beside me,1959,pop,22,sadness,0.871428571428571
717,dion & the belmonts,just you,1959,pop,85,violence,0.871428571428571
720,neil sedaka,you mean everything to me,1959,pop,27,romantic,0.871428571428571
722,fats domino,i'm walkin',1959,pop,44,obscene,0.871428571428571
724,jackie wilson,lonely teardrops,1959,pop,54,sadness,0.871428571428571
726,neil sedaka,oh! carol,1959,pop,26,sadness,0.871428571428571
728,ricky nelson,lonesome town,1959,pop,34,sadness,0.871428571428571
729,fats domino,blueberry hill,1959,pop,24,romantic,0.871428571428571
733,fats domino,ain't that a shame,1959,pop,21,sadness,0.871428571428571
735,the platters,smoke gets in your eyes,1959,pop,45,sadness,0.871428571428571
737,dion & the belmonts,a teenager in love,1959,pop,41,sadness,0.871428571428571
738,ritchie valens,we belong together,1959,pop,7,music,0.871428571428571
741,connie francis,winter wonderland,1959,pop,44,music,0.871428571428571
746,ritchie valens,paddiwack song,1959,pop,71,music,0.871428571428571
759,esquivel!,boulevard of broken dreams,1959,pop,50,sadness,0.871428571428571
760,ricky nelson,it's late,1959,pop,110,night/time,0.871428571428571
761,bobby darin,i'll remember april,1959,pop,26,romantic,0.871428571428571
766,ritchie valens,my darling is gone,1959,pop,49,sadness,0.871428571428571
767,the flamingos,"music, maestro, please!",1959,pop,40,music,0.871428571428571
768,dion & the belmonts,that's my desire,1959,pop,32,romantic,0.871428571428571
770,the clovers,fool fool fool,1959,pop,36,sadness,0.871428571428571
771,the clovers,all about you,1959,pop,159,obscene,0.871428571428571
773,harry belafonte,the marching saints,1959,pop,91,obscene,0.871428571428571
776,neil sedaka,i must be dreaming,1959,pop,24,world/life,0.871428571428571
778,ricky nelson,one minute to one,1959,pop,50,night/time,0.871428571428571
780,connie francis,you alone,1959,pop,32,romantic,0.871428571428571
781,esquivel!,all of me,1959,pop,47,violence,0.871428571428571
782,the platters,love in bloom,1959,pop,101,violence,0.871428571428571
784,neil sedaka,all i need is you,1959,pop,43,romantic,0.871428571428571
789,johnny mathis,tonight,1959,pop,25,night/time,0.871428571428571
790,johnny mathis,call me,1959,pop,39,world/life,0.871428571428571
794,neil sedaka,run samson run,1959,pop,69,sadness,0.871428571428571
796,ricky nelson,half breed,1959,pop,46,obscene,0.871428571428571
799,connie francis,i have but one heart,1959,pop,44,world/life,0.871428571428571
802,brenda lee,baby face,1959,pop,33,sadness,0.871428571428571
804,the brothers four,sama kama wacky brown,1959,pop,65,sadness,0.871428571428571
805,simon & garfunkel,the sound of silence,1959,pop,101,violence,0.871428571428571
809,neil sedaka,one way ticket,1959,pop,69,music,0.871428571428571
812,dion & the belmonts,don't pity me,1959,pop,40,sadness,0.871428571428571
813,harry belafonte,swing low,1959,pop,31,music,0.871428571428571
814,neil sedaka,another sleepless night,1959,pop,53,night/time,0.871428571428571
815,bobby darin,it ain't necessarily so,1959,pop,52,world/life,0.871428571428571
816,johnny mathis,stranger in paradise,1959,pop,57,sadness,0.871428571428571
825,bobby darin,that's the way love is,1959,pop,55,violence,0.871428571428571
827,johnny mathis,a ride on a rainbow,1959,pop,39,night/time,0.871428571428571
830,johnny mathis,someone,1959,pop,37,romantic,0.871428571428571
835,"blood, sweat & tears",you've made me so very happy,1959,pop,60,world/life,0.871428571428571
836,jackie wilson,someone to need me (as i need you),1959,pop,13,sadness,0.871428571428571
839,ricky nelson,i can't help it (if i'm still in love with you),1959,pop,33,sadness,0.871428571428571
841,ricky nelson,it's all in the game,1959,pop,24,sadness,0.871428571428571
842,jerry lee lewis,your cheating heart,1960,pop,25,sadness,0.857142857142857
843,sam cooke,the japanese farewell song,1960,pop,35,romantic,0.857142857142857
845,the brothers four,i am a roving gambler,1960,pop,72,obscene,0.857142857142857
846,bobby darin,christmas auld land syne,1960,pop,58,music,0.857142857142857
849,miriam makeba,"lakutshn, ilanga",1960,pop,33,sadness,0.857142857142857
850,the everly brothers,"oh, true love",1960,pop,38,romantic,0.857142857142857
854,the everly brothers,you thrill me (through and through),1960,pop,40,romantic,0.857142857142857
855,fats domino,three nights a week,1960,pop,36,night/time,0.857142857142857
857,patti page,with my eyes wide open i'm dreaming,1960,pop,63,sadness,0.857142857142857
860,fats domino,don't come knockin',1960,pop,45,night/time,0.857142857142857
868,brook benton,september song,1960,pop,84,world/life,0.857142857142857
870,the flamingos,you belong to my heart,1960,pop,63,sadness,0.857142857142857
871,harry belafonte,a hole in the bucket,1960,pop,111,romantic,0.857142857142857
873,sam cooke,sweet leilani,1960,pop,35,romantic,0.857142857142857
881,the everly brothers,memories are made of this,1960,pop,41,world/life,0.857142857142857
883,the everly brothers,some sweet day,1960,pop,48,romantic,0.857142857142857
888,the flamingos,at night,1960,pop,76,violence,0.857142857142857
890,bobby darin,guys and dolls,1960,pop,47,obscene,0.857142857142857
892,jackie wilson,"a woman, a lover, a friend",1960,pop,74,romantic,0.857142857142857
893,the brothers four,"theme from ""la fayette""",1960,pop,134,obscene,0.857142857142857
894,connie francis,summertime in venice,1960,pop,65,music,0.857142857142857
897,the flamingos,tell me how long,1960,pop,29,sadness,0.857142857142857
899,the moody blues,steal your heart away,1960,pop,59,sadness,0.857142857142857
900,the flamingos,when i fall in love,1960,pop,149,obscene,0.857142857142857
901,miriam makeba,one more dance,1960,pop,50,music,0.857142857142857
902,the flamingos,tenderly,1960,pop,129,violence,0.857142857142857
906,fats domino,it's the talk of the town,1960,pop,64,sadness,0.857142857142857
915,brenda lee,blueberry hill,1960,pop,28,romantic,0.857142857142857
916,brenda lee,teach me tonight,1960,pop,42,world/life,0.857142857142857
918,the platters,moonlight on the colorado,1960,pop,26,night/time,0.857142857142857
919,johnny mathis,don't blame me,1960,pop,58,night/time,0.857142857142857
920,mohammed rafi,saathi na koi manzil,1960,pop,42,world/life,0.857142857142857
922,ike & tina turner,i had a notion,1960,pop,32,world/life,0.857142857142857
923,si zentner,little jazz,1960,pop,149,romantic,0.857142857142857
926,neil sedaka,circulate,1960,pop,64,world/life,0.857142857142857
927,neil sedaka,sweet little you,1960,pop,91,romantic,0.857142857142857
928,neil sedaka,king of clowns,1960,pop,58,sadness,0.857142857142857
934,neil sedaka,look inside your heart,1960,pop,60,sadness,0.857142857142857
939,bobby darin,somebody to love,1960,pop,97,feelings,0.857142857142857
945,neil sedaka,smile,1960,pop,35,sadness,0.857142857142857
949,annette funicello,lonely guitar,1960,pop,43,music,0.857142857142857
952,fats domino,you always hurt the one you love,1960,pop,32,sadness,0.857142857142857
953,ike & tina turner,chances are,1960,pop,153,violence,0.857142857142857
955,ike & tina turner,sleepless,1960,pop,91,sadness,0.857142857142857
959,annette funicello,i love you,1960,pop,86,music,0.857142857142857
964,frankie avalon,bobby sox to stockings,1960,pop,56,world/life,0.857142857142857
967,eden ahbez,the wanderer,1960,pop,38,world/life,0.857142857142857
970,sam cooke,(ain't that) good news,1960,pop,89,feelings,0.857142857142857
973,patti page,changing partners,1960,pop,45,romantic,0.857142857142857
974,sam cooke,good times,1960,pop,111,night/time,0.857142857142857
977,the everly brothers,always it's you,1960,pop,25,romantic,0.857142857142857
980,frankie avalon,just ask your heart,1960,pop,33,romantic,0.857142857142857
984,the everly brothers,so sad (to watch good love go bad),1960,pop,36,sadness,0.857142857142857
985,sam cooke,keep movin' on,1960,pop,42,world/life,0.857142857142857
986,the everly brothers,sleepless nights,1960,pop,20,sadness,0.857142857142857
996,fats domino,walking to new orleans,1960,pop,43,obscene,0.857142857142857
997,sam cooke,soul,1960,pop,63,music,0.857142857142857
1001,sam cooke,unchained melody,1960,pop,35,night/time,0.857142857142857
1004,brenda lee,sweet nothin's,1960,pop,73,obscene,0.857142857142857
1013,neil sedaka,breaking up is hard to do,1960,pop,40,sadness,0.857142857142857
1015,sam cooke,you send me,1960,pop,23,romantic,0.857142857142857
1017,sam cooke,nothing can change this love,1960,pop,34,world/life,0.857142857142857
1018,the flamingos,mio amore,1960,pop,32,romantic,0.857142857142857
1024,fats domino,my girl josephine,1960,pop,35,world/life,0.857142857142857
1025,bobby vee,devil or angel,1960,pop,39,violence,0.857142857142857
1026,dion & the belmonts,i'm through with love,1960,pop,105,violence,0.857142857142857
1031,the everly brothers,love hurts,1960,pop,52,sadness,0.857142857142857
1032,the platters,harbor lights,1960,pop,45,romantic,0.857142857142857
1035,sam cooke,chain gang,1960,pop,80,music,0.857142857142857
1037,sam cooke,jamaica farewell,1960,pop,50,sadness,0.857142857142857
1041,sam cooke,"you, you, you",1960,pop,26,romantic,0.857142857142857
1043,sam cooke,far away places,1960,pop,49,sadness,0.857142857142857
1045,joan baez,girl of constant sorrow,1960,pop,41,world/life,0.857142857142857
1048,dion & the belmonts,a lover's prayer,1960,pop,49,sadness,0.857142857142857
